,Tittel,Abstrakt,Årstall
903,Measuring The Heat of Oslo’s Housing Market : A Composite Indicator to Improve the Informational Efficiency in the Residential Real Estate Market,"This paper develops a composite indicator that estimates the relative bargaining power
between buyers and sellers in Oslo’s residential real estate market. It constitutes a
geometric mean of three min-max scaled indicators ...",2021
904,Likelihood of Arrests for Violent Crime Incidents in America: An exploratory study using logistic regression and random forest methods,"The use of policing algorithms to predict for arrest is rising in America. However, research
indicates that these algorithms may be biased against certain populations. These false
perceptions of who commits these crimes, ...",2021
905,"Sustainable products and conceptual processing fluency:  Investigating dynamics among implicit attitudes, explicit attitudes, and buying intent for sustainable products through priming paradigm","In today’s information-dense environment, people struggle to filter through the abundance of content from social media, emails, newsletters, and advertisements, while companies battle for the slightest chance of getting ...",2021
910,Chatbots for customer service: A quantitative research,"In this thesis we have investigated the advantages and disadvantages of chatbots for customer 
service. Chatbots gained popularity because of their potential to partly automate customer 
service centres. Their success ...",2021
914,The Effect of Sustainability on Bond Pricing : An empirical study of bonds issued by Norwegian savings and commercial banks,"We find that Norwegian banks pay lower bond coupon rates for displaying sustainabilityrelated
characteristics or for issuing green bonds. Using data on bonds issued by 29
Norwegian banks in the primary market, we estimate ...",2021
916,The Impact of Carbon Emissions  on US Stock Returns: An empirical study of how carbon intensity impacts financial  performance,"The aim of this thesis is to research what effect carbon emissions have on a company's 
financial performance in the stock market. We want to examine if investing in greener 
portfolios can yield returns equal to more ...",2021
927,Estimating the Liquidity Premium in the Norwegian High Yield Bond Market   : An Empirical Analysis of the Norwegian High Yield Bond Market and Its Liquidity Premium in the Period 2009 - 2021,"We estimate the liquidity in the Norwegian High Yield Bond Market (Norwegian HY) using transaction data from January 01, 2009, to October 05, 2021. We aim to quantify how much investors, on average, require as compensation ...",2021
928,Do investors reward gender diversity? An event study of the MSCI World Women’s Leadership Index,"The aim of this thesis is to study how global markets value companies that exhibit a
commitment towards gender diversity among their board of directors and among the leadership
positions. We investigate how stock returns ...",2021
929,Do R&D Subsidies Cause Better Access to External Financing? Empirical Evidence from the Research Council of Norway’s Grant Programs,Public funding of R&D has become a popular policy instrument to alleviate financial constraints for innovation and entrepreneurship. This master’s thesis analyses whether public R&D subsidies lead to better access to ...,2021
930,Freight pricing and climate change: The case of grain cargoes in the Paraná River,"Climate change is affecting the shipping industry in Paraná River in Argentina. Lower levels
of precipitation cause the water levels to decrease, which limits the amount of cargo a ship can
load. Accurate predictions of ...",2021
931,Fra sparekonto til aktiva : En empirisk analyse av sammenhengen mellom norske husholdningers spareformer og aktivainflasjon i perioden 1945-2020,"I denne oppgaven analyserer vi sammenhengen mellom norske husholdningers sparing og aktivainflasjon i perioden 1945-2020. Vi bruker beholdningstall for spareformene aksjer, fond, bankinnskudd og realkapital som mål på ...",2021
936,A credit risk analysis of the Norwegian bank bond market : Effects of MREL implementiation in the Norwegian bank bond market,"If recovery and resolution directives are credible, investors owning bail-in debt will have an
incentive to monitor the risk of a bank. In this thesis we have analyzed the effects of the new
EU resolution framework, with ...",2021
